S. No.,Song Name,Genre,Source,Keywords/Themes
,,,,
1,Aaku Pacha Chanda,Agrarian,https://archive.org/details/arrjp-t/Aaku+Pacha+Chanda.mp3,"Farmer, Agriculture, Nature"
2,Amma Telanganama,Movement,https://archive.org/details/arrjp-t/Amma+Telanganama.mp3,"Telangana Movement, Motherland, Struggle"
3,Asaidula Haarati,Protest,https://archive.org/details/arrjp-t/Asaidula+Haarati.mp3,"Telangana Movement, Protest, Social Awakening"
4,Erra Jenda,Revolutionary,https://archive.org/details/arrjp-t/Erra+Jenda.mp3,"Communism, Labor Rights, Revolution"
5,Manduloda Ori,Romance,https://archive.org/details/arrjp-t/Manduloda+Ori.mp3,"Husband-Wife, Playful Banter, Mischief"
6,O Pinlama Naa Penlama,Family,https://archive.org/details/arrjp-t/O-pinlama-naa-penlama.mp3,"Family Dispute, Husband-Wife, Argument"
7,Rave Maradhana,Romance,https://archive.org/details/arrjp-t/Rave-maradhana.mp3,"Bava-Maradalu (Cousins), Romance, Fun"
8,Saasu Hamara,Family,https://archive.org/details/arrjp-t/Saasu+Hamara.mp3,"Mother-in-law vs. Daughter-in-law, Family Conflict"
9,Sandulunna Giraka,Romance,https://archive.org/details/arrjp-t/Sandulunna+Giraka.mp3,"Romance, Village Life, Flirtation"
10,Saroja Nee Paluke,Romance,https://archive.org/details/arrjp-t/Saroja+Nee+Paluke.mp3,"College Romance, Attraction, Youth"
11,Veera Kishora Veera Kishora,Elegy,https://archive.org/details/arrjp-t/Veera+Kishora+Veera+Kishora+-+Vimalakka+Songs+Telangana+Folk+Songs+New+Telugu+Folk+Songs.mp3,"Naxalite Movement, Martyrs, Mother's Grief"
12,Andala Deviki Garbam,Family,https://archive.org/details/arrjp-t/andala_deviki_garbam_telangana_folk_songs.mp3,"Pregnancy, Family, Affection"
13,Atha O Atha,Family,https://archive.org/details/arrjp-t/atha_o_atha_folk_songs.mp3,"Mother-in-law vs. Daughter-in-law, Household Chores"
14,Atta Oo Atta Nee Bidda,Family,https://archive.org/details/arrjp-t/atta_oo_atta_nee_bidda_telangana_folk_songs.mp3,"Son-in-law Complaints, Mother-in-law, Domestic Issues"
15,Attaru Saibo Raaraa Popular,Romance,https://archive.org/details/arrjp-t/attaru_saibo_raaraa_popular_telangana_folk_song.mp3,"Romance, Teasing, Playfulness"
16,Chinni Chinni Danive O Pilla,Romance,https://archive.org/details/arrjp-t/chinni_chinni_danive_o_pilla_song_telangana_folk_song.mp3,"Village Romance, Attraction, Youth"
17,Erra Chira Katukuna Pilla Janapadalu,Romance,https://archive.org/details/arrjp-t/erra_chira_katukuna_pilla_janapadalu_telangana_folk_song.mp3,"Admiration, Beauty, Flirtation"
18,Gal Gal Sappulla Gajulu Thestane,Romance,https://archive.org/details/arrjp-t/gal_gal_sappulla_gajulu_thestane_telangana_folk_song.mp3,"Bava-Maradalu, Romance, Gifts"
19,Gali Gali Thirigetodu Telangana Lambadi,Domestic Tragedy,https://archive.org/details/arrjp-t/gali_gali_thirigetodu_telangana_lambadi_folk_song.mp3,"Alcoholic Husband, Domestic Abuse, Family Hardship"
20,Golla Mallamma Kodala,Family,https://archive.org/details/arrjp-t/golla_mallamma_kodala_original_song_telangana_folk_song.mp3,"Mother-in-law vs. Daughter-in-law, Defiance, Village Life"
21,Gunna Gunna Mamidi Popular,Romance,https://archive.org/details/arrjp-t/gunna_gunna_mamidi_original_song_popular_telangana_folk_song.mp3,"Admiration, Beauty, Nature"
22,Kallu Tagi Kallu Tagi Kalusukuntiva,Domestic,https://archive.org/details/arrjp-t/kallu_tagi_kallu_tagi_kalusukuntiva_telangana_folk_song.mp3,"Alcoholism, Domestic Dispute, Anger"
23,Kommalallo Koilamma,Heartbreak,https://archive.org/details/arrjp-t/kommalallo_koilamma_telangana_folk_song.mp3,"Romance, Separation, Longing"
24,Menamama Kuthura Most,Romance,https://archive.org/details/arrjp-t/menamama_kuthura_most_popular_folk_song.mp3,"Bava-Maradalu, Teasing, Affection"
25,Na Andam Chudo Bavayyo,Romance,https://archive.org/details/arrjp-t/na_andam_chudo_bavayyo_telangana_folk_song.mp3,"Bava-Maradalu, Flirtation, Attraction"
26,Nanu Kottakuro Thittakuro,Domestic Tragedy,https://archive.org/details/arrjp-t/nanu_kottakuro_thittakuro_popular_telugu_folk_song.mp3,"Domestic Violence, Alcoholic Husband, Pleading"
27,Nayi Dhoro Na Chinni Dhora Raji Reddy,Elegy,https://archive.org/details/arrjp-t/nayi_dhoro_na_chinni_dhora_raji_reddy_song_telangana_folk_song.mp3,"Martyr Elegy, Naxalite Movement, Grief"
28,Rangamma Mangamma,Romance,https://archive.org/details/arrjp-t/rangamma_mangamma.mp3,"Infatuation, Village Life, Mischief"
29,Rava Rava Yellammaku,Devotional,https://archive.org/details/arrjp-t/rava_rava_yellammaku_telangana_folk_song.mp3,"Bonalu Festival, Goddess Yellamma, Devotion"
30,Regurthi Thallala Avudurthi Duet Telu Vijaya Telangana,Lifestyle,https://archive.org/details/arrjp-t/regurthi_thallala_avudurthi_duet_folk_songs_telu_vijaya_telangana_song.mp3,"Drinking Kallu (Toddy), Village Gathering, Fun"
31,Sara Saramma Sara Popular,Lifestyle,https://archive.org/details/arrjp-t/sara_saramma_sara_popular_telangana_folk_song.mp3,"Drinking Saara (Local Liquor), Village Lifestyle, Celebration"
32,Sinnamgapoyeti O Vadhinae Most,Family,https://archive.org/details/arrjp-t/sinnamgapoyeti_o_vadhinae_most_popular_folk_song.mp3,"Sister-in-law vs. Brother-in-law, Playful Teasing"
